,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,1,5,0,0,4,0.0,0,1,0,0.0,1293.328,6,6.0,11.0,OCC(C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)cc3)c(OC)c2)cc1OC
0,0,2,3,1,0,3,0.0,0,0,0,0.0,1037.074,5,6.0,8.0,OCC(Oc1c(OC)cc(C=CCO)cc1)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(Oc4c(OC)cc(C=CCO)cc4OC)c3)c(OC)c2)c(OC)c1
0,0,3,5,0,0,5,0.0,2,0,0,0.0,1667.717,8,9.0,13.0,OCC1C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C=CCO)cc3)CO)cc21)c1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(O)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)O2)c1
0,0,3,5,1,0,5,0.0,1,0,0,0.125,1667.717,8,9.0,13.0,OCC(Oc1c(OC)cc(C=CCO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c5c(C(CO)C(c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(O)c(OC)c7)cc6)O5)c4)c(OC)c3)c(OC)c2)c(Oc2c(OC)cc(C=CCO)cc2OC)c1
0,0,2,1,0,0,2,0.0,0,0,0,0.0,602.633,3,4.0,4.0,OCC(Oc1c(OC)cc(C=CCO)cc1)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)c(OC)c2)cc1
0,0,1,3,0,0,3,0.0,0,0,0,0.0,858.887,4,5.0,7.0,OCC=Cc1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(O)c(OC)c4)cc3)c(OC)c2)c(OC)c1
0,0,2,2,1,0,2,0.0,0,0,0,0.0,810.846,4,5.0,6.0,OCC=Cc1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)c(OC)c2)c(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C=CCO)cc3)CO)cc2OC)c1
0,0,0,3,0,0,1,0.0,0,1,0,0.0,644.67,3,3.0,6.0,Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)c(OC)c3)cc2OC)CO)cc1OC
0,0,0,3,0,0,1,0.0,0,1,0,0.0,644.67,3,3.0,6.0,Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)c(OC)c3)cc2OC)CO)cc1OC
0,0,2,1,0,0,2,0.0,0,0,0,0.0,602.633,3,4.0,4.0,Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C=CCO)cc3)CO)cc2)CO)cc1OC
0,0,4,4,2,0,5,0.0,0,0,0,0.0,1637.6909999999998,8,9.0,12.0,Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C=CCO)cc4OC)CO)cc3OC)CO)cc2)CO)cc1Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C=CCO)cc2Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C=CCO)cc3)CO)cc2OC)CO)cc1OC
0,0,0,4,0,0,3,0.0,0,0,0,0.0,888.9129999999999,4,5.0,8.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,1,3,0,0,3,0.0,0,0,0,0.0,858.887,4,5.0,7.0,OCC(Oc1c(OC)cc(C=CCO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)cc2)c(OC)c1
